Year,Month,Temp,TSI,CO2,CH4,N2O,CFC-11,CFC-12
1985,8,0.013,1365.7499,344.85,1654.41,305.126,213.803,386.223
1985,9,-0.035,1365.6653,343.2,1668.31,305.25,214.501,388.5
1985,10,-0.008,1365.5269,343.08,1681.56,305.395,215.327,390.676
1985,11,-0.093,1365.6289,344.4,1680.68,305.53,216.282,392.714
1985,12,-0.002,1365.6794,345.82,1677.99,305.653,217.326,394.539
1986,1,0.121,1365.6746,346.54,1675.82,305.775,218.382,396.082
1986,2,0.065,1365.5475,347.13,1666.83,305.911,219.379,397.345
1986,3,0.049,1365.6797,348.05,1672.87,306.055,220.315,398.41
1986,4,0.045,1365.6531,349.77,1688.51,306.201,221.245,399.398
1986,5,0.023,1365.7275,350.53,1686.02,306.351,222.197,400.393
1986,6,0.055,1365.6615,349.9,1685.06,306.512,223.189,401.487
1986,7,0.004,1365.6509,348.11,1682.79,306.672,224.236,402.711
1986,8,-0.001,1365.5989,346.09,1670.57,306.8,225.302,404.06
1986,9,0.016,1365.6034,345.01,1680.44,306.867,226.343,405.584
1986,10,0.043,1365.6465,344.47,1691.19,306.86,227.325,407.328
1986,11,-0.033,1365.7097,345.86,1692.49,306.779,228.224,409.211
1986,12,0.022,1365.6717,347.15,1698.08,306.612,229.058,411.112
1987,1,0.116,1365.6674,348.38,1692.74,306.368,229.846,412.92
1987,2,0.266,1365.659,348.7,1690.41,306.083,230.592,414.572
1987,3,0.021,1365.6693,349.72,1695.08,305.812,231.325,416.063
1987,4,0.084,1365.6385,351.32,1696.18,305.433,232.098,417.549
1987,5,0.145,1365.7561,352.14,1694.75,305.542,232.939,418.723
1987,6,0.121,1365.8307,351.61,1687.78,305.865,233.798,420.222
1987,7,0.238,1365.8223,349.91,1681.24,306.138,234.778,422.707
1987,8,0.219,1365.786,347.84,1678.77,306.095,235.789,426.191
1987,9,0.25,1365.857,346.52,1681.62,306.178,237.075,428.871
1987,10,0.174,1365.8508,346.65,1701.48,306.252,238.697,431.542
1987,11,0.186,1365.9837,347.96,1716.57,306.393,239.588,433.915
1987,12,0.314,1366.035,349.18,1708.14,306.503,240.058,436
1988,1,0.334,1366.0546,350.38,1698.29,306.636,241.155,438.296
1988,2,0.189,1366.1079,351.68,1701.18,306.699,242.064,440.937
1988,3,0.248,1365.9519,352.24,1706.09,306.638,243.44,442.755
1988,4,0.224,1366.0642,353.66,1708.18,306.581,244.954,443.846
1988,5,0.175,1366.3008,354.18,1705.69,306.472,246.043,444.729
1988,6,0.2,1366.0132,353.68,1699.06,306.379,246.338,445.352
1988,7,0.168,1365.8269,352.58,1687.9,306.468,247.245,447.106
1988,8,0.154,1366.1451,350.66,1691.77,306.522,248.187,449.005
1988,9,0.149,1366.4616,349.03,1701.35,306.611,249.389,451.255
1988,10,0.12,1366.1118,349.08,1708.91,306.938,250.566,453.848
1988,11,0.027,1366.2957,350.15,1719.88,307.274,251.664,456.226
1988,12,0.106,1366.2598,351.44,1726.35,307.446,252.345,458.194
1989,1,0.019,1366.5409,352.89,1721.48,307.609,252.554,459.549
1989,2,0.094,1366.599,353.24,1713.25,307.78,252.79,460.408
1989,3,0.088,1366.3758,353.8,1715.68,307.747,253.161,461.292
1989,4,0.083,1366.5902,355.59,1724.08,307.662,253.623,462.96
1989,5,0.073,1366.7788,355.89,1724.93,307.614,253.699,463.964
1989,6,0.094,1366.3298,355.3,1713.8,307.642,253.793,464.605
1989,7,0.167,1367.0685,353.98,1700.53,307.704,254.315,466.046
1989,8,0.168,1366.5084,351.53,1707.22,307.83,255.528,468.631
1989,9,0.135,1366.2616,350.02,1721.44,307.993,256.719,470.907
1989,10,0.145,1366.9553,350.29,1722.42,308.151,257.946,472.912
1989,11,0.067,1366.8248,351.44,1726.21,308.389,258.73,474.245
1989,12,0.181,1366.8784,352.84,1730.61,308.558,259.472,475.63
1990,1,0.187,1366.8759,353.79,1727.9,308.651,259.917,476.396
1990,2,0.242,1366.6353,354.88,1728.43,308.67,260.525,477.152
1990,3,0.442,1366.6447,355.65,1733.82,308.703,260.594,477.409
1990,4,0.285,1366.8675,356.28,1737.49,308.601,260.604,478.259
1990,5,0.231,1366.531,357.29,1734.47,308.564,260.699,479.174
1990,6,0.233,1366.7708,356.32,1722.26,308.46,261.138,480.57
1990,7,0.196,1366.4602,354.89,1712.71,308.411,261.594,481.251
1990,8,0.227,1366.1691,352.89,1717.93,308.496,262.342,482.685
1990,9,0.179,1366.8029,351.28,1733.81,308.718,263.107,484.643
1990,10,0.271,1366.6147,351.59,1736.9,308.879,263.616,486.334
1990,11,0.278,1365.8518,353.05,1741.42,309.072,264.455,487.528
1990,12,0.199,1366.387,354.27,1749.58,309.227,265.182,488.674
1991,1,0.224,1366.0527,354.87,1734.82,309.404,265.709,489.664
1991,2,0.272,1366.3072,355.68,1730.98,309.528,266.008,490.433
1991,3,0.161,1366.524,357.06,1746.52,309.467,265.86,491.114
1991,4,0.299,1367.0578,358.51,1749.54,309.381,265.876,491.634
1991,5,0.249,1366.426,359.09,1747.24,309.093,265.784,491.15
1991,6,0.269,1366.4313,358.1,1739.98,308.954,267.329,492.105
1991,7,0.271,1366.6668,356.12,1730.94,308.789,267.25,493.348
1991,8,0.225,1366.4562,353.89,1721.95,309.009,266.54,493.929
1991,9,0.176,1366.8856,352.3,1734.55,309.365,265.986,495.096
1991,10,0.133,1366.1477,352.32,1751.75,309.527,266.846,496.798
1991,11,0.079,1366.6227,353.79,1750.27,309.72,267.752,497.967
1991,12,0.084,1365.9437,355.07,1752.37,310.254,267.859,498.083
1992,1,0.266,1366.5226,356.17,1755.57,310.48,268.05,499.467
1992,2,0.25,1366.4271,356.93,1750.02,310.128,268.274,501.644
1992,3,0.199,1366.7462,357.82,1752.39,309.69,268.477,502.436
1992,4,0.132,1366.5951,359,1753.24,309.508,268.387,502.811
1992,5,0.125,1366.4173,359.55,1744.48,309.383,268.65,504.226
1992,6,0.118,1366.2973,359.32,1743.3,309.392,269.014,505.101
1992,7,-0.008,1366.0569,356.85,1736.28,309.687,269.483,505.671
1992,8,-0.007,1366.0305,354.91,1725.65,309.985,269.912,507.207
1992,9,-0.062,1366.1615,352.93,1729.78,310.229,270.497,508.52
1992,10,-0.072,1365.9202,353.31,1740.76,310.252,270.765,508.614
1992,11,-0.097,1366.1329,354.27,1755.29,310.216,270.886,508.737
1992,12,0.007,1366.2845,355.53,1758.32,310.293,271.057,509.265
1993,1,0.204,1366.3025,356.86,1747.82,310.397,271.193,509.232
1993,2,0.161,1365.8985,357.27,1745.64,310.344,270.814,509.287
1993,3,0.202,1366.209,358.36,1747.95,310.167,270.154,509.218
1993,4,0.121,1366.1796,359.27,1746.7,310.129,269.914,509.453
1993,5,0.158,1366.1425,360.19,1749.5,310.008,270.53,510.264
1993,6,0.122,1366.1398,359.52,1745.54,310.073,270.92,511.74
1993,7,0.088,1366.0917,357.42,1731.92,310.357,270.46,513.309
1993,8,0.06,1366.0459,355.46,1731.93,310.242,270.194,513.715
1993,9,0.013,1365.8892,354.1,1744.46,309.942,270.685,513.455
1993,10,0.061,1365.7272,354.12,1760.21,310.217,271.216,513.602
1993,11,-0.041,1365.7575,355.4,1767.99,310.429,271.339,514.557
1993,12,0.111,1365.9086,356.84,1763.5,310.091,271.494,514.616
1994,1,0.16,1365.7375,358.22,1759.84,309.951,271.238,514.991
1994,2,-0.072,1365.9885,358.98,1752.06,310.144,270.9,515.387
1994,3,0.176,1366.0304,359.91,1754.63,310.03,270.676,515.302
1994,4,0.173,1365.8642,361.32,1763.75,310.089,270.924,515.243
1994,5,0.218,1365.7634,361.68,1755.04,310.157,270.691,515.523
1994,6,0.191,1365.764,360.8,1746.61,310.162,270.516,516.232
1994,7,0.141,1365.7607,359.39,1737.42,310.089,270.85,517.172
1994,8,0.175,1365.7771,357.42,1733.9,310.216,271.228,517.716
1994,9,0.156,1365.6473,355.63,1757.14,310.526,271.042,518.274
1994,10,0.23,1365.7159,356.09,1778.6,310.813,270.928,519.545
1994,11,0.248,1365.8294,357.56,1781.02,310.914,271.087,520.879
1994,12,0.227,1365.7053,358.87,1779.12,310.947,270.807,521.311
1995,1,0.349,1365.825,359.87,1764.33,311.115,270.435,521.54
1995,2,0.449,1365.8141,360.79,1756.89,311.216,270.304,521.752
1995,3,0.286,1365.7192,361.77,1764.65,311.124,270.098,522.426
1995,4,0.229,1365.6222,363.23,1762.72,310.918,269.861,523.229
1995,5,0.176,1365.6586,363.77,1761.94,310.824,269.941,523.768
1995,6,0.283,1365.7249,363.22,1759.03,310.871,269.873,523.966
1995,7,0.276,1365.696,361.7,1749.21,310.713,269.636,524.878
1995,8,0.305,1365.715,359.11,1750.94,310.697,269.661,525.647
1995,9,0.21,1365.6943,358.11,1761.26,310.828,269.792,525.989
1995,10,0.241,1365.603,357.97,1768.73,311.156,269.799,526.535
1995,11,0.266,1365.6735,359.4,1768.11,311.282,269.967,527.047
1995,12,0.163,1365.6402,360.61,1772.75,311.428,269.981,527.476
1996,1,0.069,1365.6409,362.04,1771.15,311.62,269.579,528.077
1996,2,0.246,1365.6254,363.17,1770.25,311.83,269.384,528.897
1996,3,0.13,1365.5815,364.17,1769.7,311.828,269.482,528.589
1996,4,0.097,1365.6076,364.51,1758.89,311.711,269.61,528.263
1996,5,0.177,1365.6243,365.16,1754.78,311.533,269.456,528.449
1996,6,0.159,1365.6256,364.93,1753.6,311.478,269.163,528.67
1996,7,0.177,1365.5968,363.53,1747.03,311.481,268.803,528.804
1996,8,0.178,1365.6629,361.38,1745.36,311.66,268.982,529.492
1996,9,0.093,1365.6787,359.6,1766.96,311.739,268.964,530.227
1996,10,0.089,1365.6315,359.54,1774.5,311.85,268.728,530.837
1996,11,0.077,1365.4708,360.84,1769.75,312.03,268.673,531.628
1996,12,0.172,1365.6994,362.18,1772.83,312.358,268.872,532.22
1997,1,0.156,1365.6956,363.04,1769.9,312.408,268.715,532.302
1997,2,0.247,1365.6713,364.09,1768.98,312.461,268.491,532.387
1997,3,0.262,1365.6975,364.47,1776.07,312.584,268.388,532.452
1997,4,0.201,1365.7013,366.25,1780.96,312.652,268.151,532.257
1997,5,0.254,1365.7356,366.69,1776.67,312.519,268.078,532.311
1997,6,0.367,1365.7267,365.59,1768.27,312.568,268.026,532.575
1997,7,0.372,1365.7217,364.34,1751.61,312.647,267.784,532.827
1997,8,0.406,1365.7823,362.2,1750.23,312.702,267.441,533.315
1997,9,0.457,1365.6734,360.31,1775.56,312.845,267.414,534.415
1997,10,0.485,1365.9298,360.71,1784.8,313.025,267.469,535.205
1997,11,0.449,1365.842,362.44,1783.94,313.032,267.495,535.405
1997,12,0.526,1365.8847,364.33,1783.14,313.223,267.368,535.373
1998,1,0.486,1365.9594,365.18,1772.15,313.46,267.19,535.465
1998,2,0.739,1365.9166,365.98,1766.01,313.512,266.978,535.561
1998,3,0.52,1365.8236,367.13,1774.54,313.346,266.593,535.421
1998,4,0.608,1366.0897,368.61,1780.3,313.24,266.054,535.409
1998,5,0.57,1365.9614,369.49,1781.02,313.26,265.841,535.766
1998,6,0.579,1366.0544,368.95,1779,313.419,265.668,536.123
1998,7,0.651,1366.2444,367.74,1762.46,313.542,265.787,536.151
1998,8,0.616,1366.086,365.79,1757.06,313.619,265.784,536.489
1998,9,0.4,1366.0766,364.01,1771.02,313.7,265.911,537.326
1998,10,0.409,1366.3395,364.35,1787.32,313.89,266.395,538.583
1998,11,0.342,1366.2555,365.52,1798.26,314.201,266.352,538.473
1998,12,0.424,1366.3697,367.08,1802.92,314.504,266.247,538.66
1999,1,0.366,1366.4773,368.12,1796.25,314.589,266.016,538.872
1999,2,0.54,1366.2395,368.98,1784.64,314.571,265.701,538.971
1999,3,0.29,1366.3539,369.6,1788.08,314.444,265.343,539.005
1999,4,0.322,1366.2515,370.96,1788.27,314.324,265.111,538.895
1999,5,0.248,1366.3802,370.77,1773.11,314.381,264.811,539.015
1999,6,0.266,1366.395,370.33,1771.39,314.436,264.479,538.912
1999,7,0.282,1366.4328,369.28,1767.43,314.479,264.296,539.103
1999,8,0.253,1366.4732,366.86,1768.99,314.559,264.182,539.311
1999,9,0.274,1366.5807,364.94,1786.22,314.716,264.14,539.685
1999,10,0.241,1366.2295,365.35,1794.88,314.858,264.181,539.952
1999,11,0.223,1366.3525,366.68,1796.88,315.006,264.266,540.312
1999,12,0.338,1366.3697,368.04,1802.26,315.081,264.212,540.749
2000,1,0.212,1366.7211,369.25,1802.45,315.169,264.074,541.045
2000,2,0.363,1366.632,369.5,1794.21,315.148,263.832,540.971
2000,3,0.334,1366.4819,370.56,1792.32,315.162,263.473,540.729
2000,4,0.446,1366.6498,371.82,1787.23,315.201,263.068,541.073
2000,5,0.271,1366.3611,371.51,1774.19,315.434,262.655,541.342
2000,6,0.252,1366.4507,371.71,1772.71,315.611,262.417,541.652
2000,7,0.261,1366.5754,369.85,1769.87,315.82,262.444,541.745
2000,8,0.338,1366.9738,368.2,1762.4,315.877,262.428,541.777
2000,9,0.309,1366.5276,366.91,1774.22,315.929,262.365,541.898
2000,10,0.213,1366.9746,366.99,1797.37,316.014,262.407,542.279
2000,11,0.159,1366.9062,368.33,1799.06,316.133,262.448,542.379
2000,12,0.179,1366.9492,369.67,1791.13,316.215,262.356,542.388
2001,1,0.329,1366.7811,370.52,1789.56,316.264,262.207,542.493
2001,2,0.289,1366.8458,371.49,1793.7,316.268,261.978,542.613
2001,3,0.475,1366.4121,372.53,1801.51,316.163,261.612,542.323
2001,4,0.426,1366.4659,373.37,1797.89,316.128,261.27,542.068
2001,5,0.399,1366.52,373.82,1783.63,316.046,261.019,542.003
2001,6,0.416,1366.5092,373.18,1773.87,316.087,260.816,542.143
2001,7,0.452,1366.7203,371.57,1769.8,316.159,260.612,542.092
2001,8,0.498,1366.4475,369.63,1765.16,316.233,260.4,542.131
2001,9,0.405,1366.301,368.16,1780.4,316.324,260.311,542.279
2001,10,0.378,1366.814,368.42,1791.44,316.51,260.355,542.802
2001,11,0.491,1366.52,369.69,1793.55,316.729,260.434,543.226
2001,12,0.323,1366.891,371.18,1796.58,316.883,260.432,543.419
2002,1,0.568,1367.3162,372.45,1787.94,316.967,260.392,543.501
2002,2,0.593,1367.1783,373.14,1783.38,317.009,260.284,543.813
2002,3,0.586,1367.0065,373.93,1786.67,316.969,260.008,543.473
2002,4,0.443,1366.6454,375,1782.47,316.882,259.574,543.165
2002,5,0.432,1366.647,375.65,1778.81,316.806,259.153,543.053
2002,6,0.455,1366.6873,375.5,1775.11,316.849,258.797,543.279
2002,7,0.462,1366.1716,374,1766.96,316.874,258.6,543.181
2002,8,0.417,1366.3053,371.83,1766.58,316.9,258.399,542.882
2002,9,0.413,1366.4584,370.66,1780.92,317.015,258.269,543.078
2002,10,0.362,1366.5261,370.51,1796,317.133,258.274,543.472
2002,11,0.397,1366.4495,372.2,1801.67,317.234,258.289,543.647
2002,12,0.326,1366.7773,373.71,1793.14,317.214,257.956,543.383
2003,1,0.514,1366.6034,374.87,1786.46,317.207,257.416,543.113
2003,2,0.427,1366.5458,375.62,1792.28,317.268,257.107,543.032
2003,3,0.418,1366.1968,376.48,1797.44,317.403,256.985,543.149
2003,4,0.408,1366.2227,377.74,1795.5,317.555,256.724,543.028
2003,5,0.439,1366.1753,378.5,1787.39,317.556,256.395,542.513
2003,6,0.437,1366.0914,378.18,1791.12,317.558,256.239,542.162
2003,7,0.457,1366.2437,376.72,1785.91,317.604,256.118,542.208
2003,8,0.514,1366.2744,374.32,1773.56,317.703,255.889,542.529
2003,9,0.499,1366.3611,373.2,1788.75,317.796,255.641,542.719
2003,10,0.55,1365.5612,373.1,1806.62,317.95,255.573,542.935
2003,11,0.419,1366.1956,374.64,1808.15,318.08,255.679,543.166
2003,12,0.519,1366.2899,375.93,1795.07,318.129,255.522,543.199
2004,1,0.496,1366.1038,377,1790.34,318.193,255.276,543.133
2004,2,0.56,1366.089,377.87,1798.45,318.188,255.018,543.039
2004,3,0.501,1366.1272,378.73,1807.48,318.198,254.712,543.008
2004,4,0.484,1366.1742,380.41,1806.05,318.13,254.385,542.685
2004,5,0.323,1366.0297,380.63,1788.24,318.101,254.176,542.361
2004,6,0.35,1366.0179,379.56,1780.35,318.074,253.87,542.098
2004,7,0.38,1365.7578,377.61,1775.16,318.131,253.59,541.999
2004,8,0.418,1365.9036,376.15,1770.29,318.236,253.44,541.864
2004,9,0.442,1366.0957,374.11,1778.7,318.314,253.211,541.798
2004,10,0.468,1366.1166,374.44,1791.29,318.476,252.899,542.317
2004,11,0.521,1366.0057,375.93,1801.03,318.648,252.783,542.474
2004,12,0.381,1366.1552,377.45,1797.24,318.825,252.754,542.172
2005,1,0.452,1365.7864,378.47,1789.02,318.858,252.659,541.892
2005,2,0.364,1365.9349,379.76,1796.63,318.864,252.479,542.021
2005,3,0.493,1365.8956,381.14,1803.37,318.866,252.271,542.044
2005,4,0.53,1365.88,382.2,1791.84,318.866,251.965,541.74
2005,5,0.476,1365.8463,382.47,1781.36,318.866,251.676,541.332
2005,6,0.506,1365.8059,382.2,1780.6,318.847,251.511,540.979
2005,7,0.532,1365.8595,380.78,1771.92,318.861,251.306,540.964
2005,8,0.502,1365.9275,378.73,1766.98,318.933,251.077,540.978
2005,9,0.498,1365.7988,376.66,1787.78,319.108,250.998,541.206
2005,10,0.495,1365.886,376.98,1806.71,319.299,251.021,541.44
2005,11,0.478,1365.7792,378.29,1803.68,319.525,251.048,541.756
2005,12,0.366,1365.8549,379.92,1798.89,319.688,250.989,541.799
2006,1,0.32,1365.8986,381.35,1795.03,319.826,250.771,541.627
2006,2,0.435,1365.8728,382.16,1786.41,319.947,250.484,541.273
2006,3,0.38,1365.785,382.66,1786.77,319.902,250.155,540.952
2006,4,0.378,1365.8058,384.73,1801.19,319.815,249.989,540.741
2006,5,0.352,1365.923,384.98,1798.85,319.848,249.839,540.456
2006,6,0.442,1365.834,384.09,1780.21,319.882,249.614,539.999
2006,7,0.456,1365.8212,382.38,1765.95,319.872,249.247,539.725
2006,8,0.482,1365.7067,380.45,1762.66,319.93,248.981,539.682
2006,9,0.425,1365.8419,378.92,1776.04,320.01,248.775,539.566
2006,10,0.472,1365.827,379.16,1789.02,320.125,248.666,539.488
2006,11,0.44,1365.7039,380.18,1791.91,320.321,248.605,539.5
2006,12,0.518,1365.7087,381.79,1795.04,320.451,248.48,539.377
2007,1,0.601,1365.7173,382.93,1799.66,320.561,248.372,539.206
2007,2,0.498,1365.7145,383.81,1803.08,320.571,248.264,538.973
2007,3,0.435,1365.7544,384.56,1803.1,320.548,247.997,538.811
2007,4,0.466,1365.7228,386.4,1802.11,320.518,247.574,538.586
2007,5,0.372,1365.6932,386.58,1795.65,320.445,247.224,538.13
2007,6,0.382,1365.7616,386.05,1781.81,320.332,246.881,537.376
2007,7,0.394,1365.7506,384.49,1771.89,320.349,246.497,537.113
2007,8,0.358,1365.7566,382,1779.38,320.471,246.307,537.125
2007,9,0.402,1365.7159,380.9,1794.21,320.618,246.214,537.281
2007,10,0.362,1365.7388,381.14,1802.38,320.855,246.189,537.38
2007,11,0.266,1365.668,382.42,1803.79,321.062,246.178,537.319
2007,12,0.226,1365.6927,383.89,1805.58,321.217,246.261,537.052
2008,1,0.074,1365.7163,385.44,1809.92,321.328,246.183,536.876
2008,2,0.198,1365.7366,385.73,1803.45,321.345,245.898,536.484
2008,3,0.447,1365.6726,385.97,1792.84,321.295,245.43,535.979
2008,4,0.278,1365.7146,387.16,1792.57,321.354,245.086,535.648
2008,5,0.283,1365.7175,388.5,1796.43,321.42,244.914,535.399
2008,6,0.315,1365.673,387.88,1791.8,321.447,244.676,535.128
2008,7,0.406,1365.672,386.42,1782.93,321.372,244.434,535.026
2008,8,0.407,1365.657,384.15,1779.88,321.405,244.2,535.072
2008,9,0.378,1365.6647,383.09,1795.08,321.529,244.083,535.048
2008,10,0.44,1365.6759,382.99,1814.18,321.796,244.08,534.927
2008,11,0.394,1365.7065,384.13,1812.37,322.013,244.225,534.906
2008,12,0.33,1365.6926,385.56,1812.88,322.182,244.204,535.005
